"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"418094 (2007 WV4)","2017-Jun-01 12:09 ±","7.96/0.02045","7.96/0.02045","23.24","23.23","8.4e+04","19.3","42","APO*"
"(2010 VB1)","2017-Jun-16 05:20 ±   00:02","10.21/0.02624","10.21/0.02622","8.33","8.32","1.34e+05","23.2","16","APO*"
"471984 (2013 UE3)","2017-Jun-18 21:16 ±","19.03/0.04890","19.03/0.04889","7.69","7.68","1.82e+05","22.7","31","APO*"
"441987 (2010 NY65)","2017-Jun-24 06:38 ±","7.89/0.02028","7.89/0.02028","12.68","12.67","9.1e+06","21.5","67","ATE*"
"(2017 BS5)","2017-Jul-23 19:19 ±","3.16/0.00812","3.12/0.00801","5.81","5.75","1.9e+04","24.1","5","APO*"
"(2014 OA339)","2017-Aug-13 13:45 ± 1_06:31","12.66/0.03252","11.54/0.02964","10.12","10.11","5.35e+04","24.4","5","APO*"
"3122 Florence","2017-Sep-01 12:06 ±","18.38/0.04724","18.38/0.04724","13.53","13.53","4.47e+05","14.1","359","AMO*"
"(2014 RC)","2017-Sep-11 14:20 ±   00:07","15.10/0.03881","15.06/0.03870","8.92","8.92","7.83e+04","26.8","22","APO*"
"(1989 VB)","2017-Sep-29 19:58 ±   00:04","7.88/0.02024","7.87/0.02023","6.29","6.27","1.94e+04","19.7","12","APO*"
"(2012 TC4)","2017-Oct-12 05:45 ±   04:59","0.13/0.00034","0.03/8.8e-05","7.62","6.52","1.15e+04","26.7","23","APO*"
"(2005 TE49)","2017-Oct-14 05:31 ±   05:57","4.40/0.01131","3.23/0.00831","10.44","10.42","1.22e+03","26.7","6","ATE*"
"(2013 UM9)","2017-Oct-15 09:09 ± 1_23:36","15.33/0.03939","7.12/0.01830","7.67","7.66","6.41e+03","24.8","6","APO*"
"(2006 TU7)","2017-Oct-18 21:22 ±","18.60/0.04780","18.60/0.04780","13.26","13.26","5.05e+05","21.9","20","ATE*"
"171576 (1999 VP11)","2017-Oct-22 11:02 ±","5.77/0.01483","5.77/0.01483","21.20","21.19","2.46e+04","18.6","55","APO*"
"(2003 UV11)","2017-Oct-31 03:01 ±","14.97/0.03847","14.97/0.03847","24.52","24.52","2.16e+06","19.5","52","APO*"
"444584 (2006 UK)","2017-Nov-17 21:09 ±","8.66/0.02226","8.66/0.02226","14.80","14.79","2.39e+05","20.2","48","APO*"
"(2010 VD139)","2017-Nov-29 07:47 ± 3_06:39","4.94/0.01270","4.89/0.01255","5.68","5.64","1.32e+05","26.2","8","ATE*"
"(2008 WM61)","2017-Dec-03 06:33 ± 2_23:48","3.83/0.00983","3.09/0.00793","4.69","4.63","3.39e+05","26.7","12","APO*"
"(2015 XX169)","2017-Dec-14 00:07 ±","9.71/0.02494","9.71/0.02494","6.25","6.23","8.64e+04","27.5","6","APO*"
"(2011 YD29)","2017-Dec-19 05:41 ±   20:56","19.26/0.04949","10.96/0.02815","7.84","7.83","1.43e+04","26.3","4","ATE*"
"(2006 XY)","2017-Dec-19 19:21 ± 1_19:10","5.90/0.01516","2.78/0.00714","4.93","4.89","1.61e+05","24.0","14","APO*"
"418849 (2008 WM64)","2017-Dec-22 10:15 ±","15.25/0.03918","15.25/0.03918","17.38","17.38","5.4e+05","20.7","37","APO*"
"(2015 YQ1)","2017-Dec-22 14:18 ±   00:14","17.10/0.04393","16.54/0.04251","11.13","11.12","5.72e+04","28.0","7","APO*"
"306383 (1993 VD)","2018-Jan-22 18:58 ±","14.32/0.03680","14.32/0.03679","17.40","17.40","1.18e+05","21.5","29","ATE*"
"(2002 CB19)","2018-Feb-02 22:38 ±   18:56","10.30/0.02646","9.70/0.02493","15.61","15.61","3.02e+04","25.0","11","APO*"
"276033 (2002 AJ129)","2018-Feb-04 21:31 ±","10.95/0.02813","10.95/0.02813","34.04","34.04","1.26e+05","18.7","57","APO*"
"(2015 BN509)","2018-Feb-09 19:59 ±","12.84/0.03298","12.84/0.03298","17.72","17.71","6.8e+05","20.7","45","APO*"
"(1991 VG)","2018-Feb-11 21:19 ±   00:12","18.36/0.04717","18.32/0.04707","2.05","2.02","1.05e+05","28.5","9","APO*"
"(2014 WQ202)","2018-Feb-11 23:34 ±   01:30","14.84/0.03812","12.18/0.03130","19.74","19.74","829","23.8","7","ATE*"
"(2016 CO246)","2018-Feb-22 04:45 ±","15.21/0.03910","15.21/0.03909","5.38","5.37","2.69e+05","26.1","11","APO*"
"(2017 DR109)","2018-Feb-24 05:22 ±   00:21","3.72/0.00956","3.29/0.00846","7.37","7.33","3.91e+04","27.6","1","ATE*"
"(2016 FU12)","2018-Feb-26 21:52 ±   02:17","13.15/0.03380","12.48/0.03207","4.51","4.49","415","26.9","3","APO*"
"(2014 EY24)","2018-Feb-27 03:01 ±   00:20","14.74/0.03786","14.71/0.03779","8.02","8.01","3.28e+05","24.1","18","APO*"
"(2015 BF511)","2018-Feb-28 15:25 ±   21:24","11.46/0.02946","8.09/0.02080","5.76","5.74","8.42e+04","24.8","11","APO*"
"(2003 EM1)","2018-Mar-07 03:23 ±   00:10","16.67/0.04284","15.83/0.04066","7.98","7.97","2.58e+04","24.5","13","ATE*"
"(2015 DK200)","2018-Mar-10 08:16 ± 1_00:54","7.12/0.01830","5.73/0.01473","8.00","7.99","4.11e+05","25.6","10","APO*"
"(2017 FZ2)","2016-Mar-24 01:47 ±   00:04","7.59/0.01951","7.47/0.01919","7.94","7.92","1.44e+05","26.7","2","ATE*"
"(2016 EQ1)","2016-Mar-24 04:47 ±","8.29/0.02131","8.27/0.02126","5.70","5.68","754","26.3","14","APO*"
"(2016 GF1)","2016-Mar-24 12:55 ±","11.23/0.02886","11.20/0.02878","8.19","8.18","618","26.0","7","APO*"
"(2016 GH134)","2016-Mar-25 04:41 ±","12.94/0.03326","12.88/0.03310","19.52","19.52","763","22.6","4","APO*"
"(2016 FW3)","2016-Mar-25 05:20 ±","8.41/0.02160","8.39/0.02156","8.75","8.73","1.03e+03","25.5","8","APO*"
"455148 (1994 UG)","2016-Mar-25 07:31 ±","17.28/0.04441","17.28/0.04441","7.38","7.37","9.04e+05","21.1","68","APO*"
"(2016 FU6)","2016-Mar-25 19:19 ±   00:01","0.47/0.00120","0.46/0.00119","10.27","10.05","1.31e+03","28.9","2","APO*"
"(2016 FG14)","2016-Mar-25 21:50 ±","17.29/0.04443","17.09/0.04390","12.75","12.74","175","26.2","4","ATE*"
"(2016 GF135)","2016-Mar-26 09:51 ±   00:01","10.86/0.02791","10.74/0.02759","7.70","7.69","578","26.2","4","APO*"
"(2016 GK135)","2016-Mar-26 13:53 ±   00:05","8.00/0.02057","7.98/0.02050","2.48","2.43","509","28.1","5","ATE*"
"(2016 GD2)","2016-Mar-27 01:31 ±","16.19/0.04160","16.03/0.04120","8.43","8.43","195","26.5","3","APO*"
"(2016 GK2)","2016-Mar-27 01:34 ±","3.07/0.00788","3.06/0.00786","9.38","9.35","727","27.7","7","APO*"
"(2016 FA14)","2016-Mar-28 06:32 ±","1.65/0.00424","1.65/0.00423","15.24","15.20","772","27.2","5","APO*"
"(2016 GV)","2016-Mar-28 06:41 ±","14.72/0.03783","14.64/0.03761","15.79","15.78","373","24.8","4","APO*"
"(2016 GU2)","2016-Mar-28 09:12 ±","11.09/0.02849","11.06/0.02842","38.57","38.57","1.86e+03","24.0","6","APO*"
"(2016 FE15)","2016-Mar-28 14:18 ±","0.70/0.00180","0.70/0.00180","12.29","12.17","709","28.8","4","APO*"
"(2016 FF14)","2016-Mar-28 21:56 ±","2.36/0.00607","2.36/0.00607","9.86","9.82","1.43e+03","27.1","5","APO*"
"(2016 GC)","2016-Mar-29 00:58 ±","7.38/0.01897","7.35/0.01889","8.17","8.15","454","26.5","5","APO*"
"(2016 EK156)","2016-Mar-29 09:09 ±","14.04/0.03609","13.97/0.03590","9.47","9.46","364","24.7","8","APO*"
"(2016 GV1)","2016-Mar-29 09:46 ±","12.97/0.03333","12.95/0.03328","10.31","10.30","1.17e+03","24.3","9","APO*"
"(2016 BC14)","2016-Mar-29 13:45 ±","9.79/0.02517","9.79/0.02516","6.29","6.27","1.23e+04","20.9","41","ATE*"
"(2008 BX2)","2016-Mar-30 02:40 ±","19.13/0.04916","19.13/0.04916","8.53","8.52","1.4e+05","23.6","20","ATE*"
"(2016 FL14)","2016-Mar-30 17:35 ±","12.10/0.03110","12.08/0.03104","11.44","11.43","908","25.9","3","APO*"
"(2010 GD35)","2016-Mar-31 11:24 ±","17.42/0.04475","17.41/0.04475","11.25","11.24","3.4e+04","24.5","9","ATE*"
"(2016 GS134)","2016-Apr-01 05:56 ±","0.52/0.00133","0.52/0.00133","11.24","11.06","1.01e+03","27.7","8","APO*"
"(2016 FC13)","2016-Apr-01 11:59 ±","12.83/0.03297","12.83/0.03297","21.93","21.93","2.62e+05","22.0","11","APO*"
"(2016 GG1)","2016-Apr-02 20:42 ±","12.20/0.03135","12.16/0.03125","5.63","5.62","550","26.6","8","AMO*"
"(2016 GG134)","2016-Apr-02 23:48 ±","18.14/0.04662","18.07/0.04643","8.41","8.41","440","25.5","5","AMO*"
"(2016 FB13)","2016-Apr-03 01:34 ±","1.23/0.00317","1.23/0.00317","18.06","18.01","3.07e+03","26.6","6","APO*"
"(2016 GY2)","2016-Apr-03 11:56 ±","4.33/0.01112","4.31/0.01108","9.96","9.93","565","26.1","2","ATE*"
"(2016 HF)","2016-Apr-03 21:14 ±","17.59/0.04520","17.57/0.04516","5.99","5.98","3e+03","25.0","8","AMO*"
"(2016 FX7)","2016-Apr-03 21:51 ±","10.08/0.02589","10.05/0.02582","7.78","7.77","670","26.8","6","APO*"
"(2016 GN134)","2016-Apr-04 13:52 ±","0.15/0.00038","0.15/0.00038","13.90","13.39","1.9e+03","30.2","3","APO*"
"(2016 FW13)","2016-Apr-05 02:21 ±","0.82/0.00210","0.82/0.00210","10.46","10.34","1.15e+03","29.5","5","APO*"
